Date,Open,High,Low,Close,Adj Close,Volume
5/18/2018,526.900024,534.400024,512,524.700012,518.706055,241254
5/21/2018,521.599976,548.299988,510.100006,516.200012,510.303162,325398
5/22/2018,516.200012,522,501.200012,512,506.151123,270519
5/23/2018,512,512,495,499.700012,493.991638,315337
5/24/2018,504.950012,505,488.049988,498.549988,492.854797,244579
5/25/2018,502.399994,505,491,502.399994,496.660797,338072
5/28/2018,507.399994,520,504,511.75,505.904022,245925
5/29/2018,511,515,505.049988,511.850006,506.002838,100323
5/30/2018,506.049988,519.5,502.549988,511.350006,505.508575,203407
5/31/2018,512,515.950012,505.350006,506.950012,503.126648,125955
6/1/2018,503.549988,514.700012,503,509.600006,505.756653,223358
6/4/2018,512.150024,514.400024,505,508.350006,504.516083,148635
6/5/2018,508.799988,518,495.75,501.549988,497.767365,271349
6/6/2018,495,512.5,490.049988,509.149994,505.310028,209097
6/7/2018,510,524.700012,510,515.099976,511.215179,280118
6/8/2018,510.100006,519.950012,510.100006,514.099976,510.222717,49833
6/11/2018,515.799988,518.849976,506.100006,510.549988,506.699493,100249
6/12/2018,510,513.099976,508.049988,511.649994,507.791199,89830
6/13/2018,511.700012,535.5,511.700012,527.400024,523.422424,460088
6/14/2018,527,527,506.100006,508.649994,504.813812,581951
6/15/2018,507.5,509.5,496.649994,505.100006,501.290588,181766
6/18/2018,504.5,512.5,500.5,510.200012,506.352142,208683
6/19/2018,510,511.850006,499.350006,505,501.191345,360855
6/20/2018,513,513,501.049988,503.700012,499.901154,180812
6/21/2018,501.549988,505.600006,498.25,501.200012,497.420044,353000
6/22/2018,504.299988,505.450012,495,499.850006,496.0802,422634
6/25/2018,501,502,472.549988,483,479.357269,377617
6/26/2018,480.100006,483.399994,462.200012,465.600006,462.088531,432114
6/27/2018,464,472.5,455,462.950012,459.458496,518006
6/28/2018,461.950012,466.799988,452,459.5,456.034515,310030
6/29/2018,463,481.799988,461.100006,477.350006,473.749908,506445
7/2/2018,477.049988,484.5,468.049988,475.75,472.161957,741589
7/3/2018,470.700012,480,466,476.5,472.906281,291741
7/4/2018,476.950012,476.950012,466.149994,471.850006,468.291382,157423
7/5/2018,468.100006,484.75,453,457.549988,454.099182,497062
7/6/2018,460.950012,469.899994,452.25,460,456.530731,531853
7/9/2018,461,474.5,461,473.25,469.680817,364250
7/10/2018,475.100006,493,475.100006,489.549988,485.85788,423612
7/11/2018,488.700012,494.899994,486.25,489.100006,485.411285,190414
7/12/2018,494.950012,494.950012,472.549988,476,472.410095,192811
7/13/2018,476.5,485,473.200012,476.700012,473.104797,355227
7/16/2018,478.700012,478.799988,456.100006,461.450012,457.969818,221349
7/17/2018,460.399994,478,456.5,464.200012,460.699097,324327
7/18/2018,467.649994,467.649994,453.600006,457.399994,453.950348,147214
7/19/2018,460.200012,470.899994,450.5,465.350006,461.840393,252160
7/20/2018,467.649994,488.100006,465.049988,486.799988,483.128601,762846
7/23/2018,488,488.950012,476.899994,482.75,479.109161,376169
7/24/2018,482.75,483.5,472.5,476.149994,472.558929,123801
7/25/2018,474,477.850006,460.5,463.399994,459.90509,249270
7/26/2018,465.899994,480.700012,465.200012,479.5,475.883667,196849
7/27/2018,482.350006,486.399994,476.25,480.350006,476.727264,255701
7/30/2018,484,497.299988,481.5,490.799988,487.09845,286110
7/31/2018,509.5,514.950012,487.799988,496.100006,492.35849,1049197
8/1/2018,495,497.049988,481.549988,488.149994,484.468445,363389
8/2/2018,488,491,479.049988,481.549988,477.918182,75419
8/3/2018,482.5,486.649994,482.049988,484.549988,480.895599,101650
8/6/2018,486,489.950012,478.200012,481.149994,477.52121,70893
8/7/2018,482.799988,483.799988,473,475.950012,472.360474,107083
8/8/2018,473.5,483,472.549988,479.25,475.635559,164292
8/9/2018,479.5,483.450012,471.549988,476.600006,473.005554,196839
8/10/2018,479.399994,487,476,483.950012,480.30011,545258
8/13/2018,480.850006,493,475.149994,481.700012,478.067108,220209
8/14/2018,482,486.899994,472.100006,478.899994,475.288177,169381
8/16/2018,475.049988,479.950012,467,469.75,466.207184,133124
8/17/2018,474.299988,478.799988,469.200012,474.850006,471.268738,113875
8/20/2018,477,482.799988,471.100006,479.649994,476.032562,312183
8/21/2018,476.700012,489,472.25,475.200012,471.616119,177958
8/23/2018,478.75,478.75,466.049988,469.700012,466.157623,189464
8/24/2018,467,474.5,467,468.850006,465.313995,146764
8/27/2018,470,474.950012,466.149994,468.950012,465.413239,140321
8/28/2018,466.549988,470.200012,454,460.450012,456.977356,538681
8/29/2018,460,466.5,455,456.649994,453.205994,175189
8/30/2018,458.100006,459.799988,452.5,453.049988,449.633148,240103
8/31/2018,453.200012,459,435.5,440.850006,437.525177,838029
9/3/2018,439.5,463,432.100006,455.649994,452.213562,605164
9/4/2018,455.700012,462.049988,444,452.600006,449.186554,442748
9/5/2018,447.799988,447.799988,433.299988,442.549988,439.212341,551457
9/6/2018,447.049988,454,444.100006,447.299988,443.926514,107453
9/7/2018,445,454,445,452.200012,448.789581,77584
9/10/2018,454,458,448.700012,452.25,448.839172,276636
9/11/2018,454.950012,458.549988,450.799988,455.149994,451.717316,256998
9/12/2018,452.399994,455,442.850006,449.149994,445.762573,104832
9/14/2018,448.5,473.5,448.5,469.450012,465.909485,568859
9/17/2018,469.950012,474,462,470.100006,466.554596,177154
9/18/2018,469,475.450012,457,460.950012,457.473602,209119
9/19/2018,464.950012,464.950012,450.049988,452.950012,449.533936,193719
9/21/2018,454.950012,459.950012,424,431.850006,428.593048,604687
9/24/2018,427.549988,429.399994,395.100006,406.450012,403.384613,817859
9/25/2018,406.450012,424.799988,397.450012,406,402.937988,808757
9/26/2018,409,424.799988,401.850006,416.799988,413.656525,297992
9/27/2018,419.950012,424.950012,412.600006,416.950012,413.80542,337223
9/28/2018,415.549988,418.299988,398.399994,405.600006,402.541016,547020
10/1/2018,401,413.549988,396.100006,403.799988,400.754578,1252856
10/3/2018,403,408.100006,389.049988,399.950012,396.933655,1856871
10/4/2018,390.200012,400,385.25,395.350006,392.368317,476921
10/5/2018,391,397.450012,351.350006,390,387.058685,1357452
10/8/2018,390,390,361.549988,377.950012,375.099548,2039774
10/9/2018,375.600006,388.5,362.450012,375.700012,372.866516,435713
10/10/2018,372.200012,384.75,371,375.049988,372.221405,444400
10/11/2018,362.200012,372.950012,357,369.850006,367.060638,127079
10/12/2018,375.350006,389.700012,370.450012,385.350006,382.443756,444732
10/15/2018,385,388.600006,378,380.450012,377.580719,314778
10/16/2018,381.5,387.600006,373.100006,375.299988,372.469513,349684
10/17/2018,378.700012,382,373.25,375.149994,372.320679,1322576
10/19/2018,376.950012,378.299988,366.100006,373.25,370.434998,140688
10/22/2018,373.299988,384.5,373.299988,380.25,377.382202,527126
10/23/2018,381.399994,408.799988,375.049988,394.549988,391.574341,689609
10/24/2018,395.200012,439.950012,395.200012,432.5,429.238159,1126182
10/25/2018,425,431,415.399994,420.049988,416.882019,394838
10/26/2018,423.450012,429.950012,410.049988,422.850006,419.660919,166448
10/29/2018,420.299988,428.5,418.299988,423.600006,420.405243,166303
10/30/2018,424.200012,440,423,424.899994,421.695465,316858
10/31/2018,427.5,433,418.600006,423.350006,420.157166,245033
11/1/2018,424.850006,439.399994,423.5,429.350006,426.111908,344204
11/2/2018,432,434.950012,425,427.350006,424.126984,235993
11/5/2018,426,438.299988,425.25,434.5,431.223053,182158
11/6/2018,439.5,443.450012,433.399994,439.600006,436.284607,392795
11/7/2018,442.899994,443,438,440.149994,436.830444,36152
11/9/2018,442.5,451.950012,415,418.75,415.591827,598831
11/12/2018,418.75,419.549988,405.049988,409.350006,406.262756,477360
11/13/2018,410.950012,414.950012,400.5,403.200012,400.159149,243153
11/14/2018,405.799988,406.649994,390.100006,395.950012,392.963837,725346
11/15/2018,398.399994,412,388.450012,405.799988,402.739502,363262
11/16/2018,408,419.399994,406,412.799988,409.686707,363034
11/19/2018,415,437.399994,415,422.100006,418.916595,359294
11/20/2018,424,427,414.950012,421.600006,418.420349,137844
11/21/2018,423.600006,430.149994,415.549988,425.399994,422.191681,445063
11/22/2018,427.950012,428.899994,421.600006,425.049988,421.844299,87800
11/26/2018,427.649994,431.950012,423.649994,427.600006,424.375122,159651
11/27/2018,425.049988,435,421.850006,425.950012,422.737549,553794
11/28/2018,425,426.75,412.100006,414.75,411.622009,439309
11/29/2018,412.350006,435,412.350006,430.149994,426.905853,1255825
11/30/2018,428.200012,459.799988,428.200012,446.299988,442.934052,943123
12/3/2018,449.899994,477.899994,449.899994,472,468.440216,1250723
12/4/2018,471.799988,486.149994,455,479.700012,476.082153,337775
12/5/2018,478.899994,478.899994,462.049988,466.850006,463.329102,282800
12/6/2018,465.799988,479.299988,445.549988,475.549988,471.96347,397293
12/7/2018,480,487,471.100006,477.450012,473.849121,792832
12/10/2018,472.5,476.450012,460,462.350006,458.863037,409417
12/11/2018,455.049988,459.950012,443.600006,448.149994,444.770111,293914
12/12/2018,452,471,451.899994,467.049988,463.527557,431883
12/13/2018,467.049988,481,467.049988,474.299988,470.72287,348684
12/14/2018,478,486.5,471.299988,476.75,473.154419,152261
12/17/2018,479.700012,483.950012,470.600006,476.850006,473.253662,213555
12/18/2018,479,492,476.149994,483.450012,479.803894,812837
12/19/2018,484.950012,486.450012,476,480.649994,477.024994,114216
12/20/2018,484.450012,484.950012,472.25,475.600006,472.013092,73442
12/21/2018,474.399994,474.399994,451,452.350006,448.938446,215192
12/24/2018,452.049988,456.799988,437.5,452.299988,448.888794,165248
12/26/2018,447.100006,454.399994,436.25,446.799988,443.430267,71505
12/27/2018,448,459.399994,446.100006,450.850006,447.449738,164909
12/28/2018,457,461.450012,449.75,451.299988,447.896332,119046
12/31/2018,455.299988,461.950012,438.399994,440.850006,437.525177,256403
1/1/2019,444.899994,457.899994,442.25,454.700012,451.270721,312694
1/2/2019,453,466,441,447.450012,444.075409,389093
1/3/2019,450.200012,454.899994,445.299988,448.600006,445.216705,127886
1/4/2019,451,465,447.25,463.350006,459.855499,343653
1/7/2019,466.149994,478,455.149994,457.549988,454.099182,542900
1/8/2019,461.25,469.399994,448.600006,451.850006,448.4422,317297
1/9/2019,454.950012,459.700012,448,457.649994,454.198456,160252
1/10/2019,459.399994,467.850006,453.200012,460.049988,456.580353,309824
1/11/2019,460.350006,461.399994,450.049988,452.399994,448.988068,99363
1/14/2019,451.850006,452,438.399994,443.899994,440.552185,149033
1/15/2019,445.700012,464,445.450012,452.299988,448.888794,540050
1/16/2019,454,460.899994,450.600006,453.75,450.327881,216001
1/17/2019,453.899994,462.799988,452.149994,460.25,456.778839,620582
1/18/2019,463.899994,463.950012,446.049988,449.850006,446.457275,619559
1/21/2019,449.950012,450,440.049988,445.100006,441.743134,221923
1/22/2019,442,449.799988,441.100006,447.75,444.373138,374527
1/23/2019,448.75,448.75,436.25,440.200012,436.880096,393172
1/24/2019,445.5,478.350006,445.5,471.700012,468.142517,1096773
1/25/2019,474,477,451.850006,457.299988,453.851105,638118
1/28/2019,459.950012,462.799988,446.25,448.100006,444.72049,131400
1/29/2019,447,450,442.600006,444.450012,441.098022,83575
1/30/2019,445.950012,445.950012,432.049988,433.299988,430.032104,198099
1/31/2019,437.5,448,434.5,444.649994,441.296509,211627
2/1/2019,450.5,474.950012,443.950012,454.200012,450.774506,666607
2/4/2019,458,465.549988,451.049988,454.299988,450.873718,234707
2/5/2019,454,457.100006,445.549988,448.25,444.869354,69161
2/6/2019,451,463.700012,448,449.5,446.109924,357971
2/7/2019,452.200012,460.100006,449.799988,451.5,448.094849,152581
2/8/2019,452.799988,464,436.25,444.600006,441.246887,758807
2/11/2019,442,448.700012,439.950012,441.799988,438.467987,62339
2/12/2019,444.649994,455.799988,443,445.299988,441.941589,529202
2/14/2019,457,461.950012,450.049988,457.850006,454.396973,118138
2/15/2019,458.950012,474,456.100006,467.950012,464.420776,216540
2/18/2019,469.950012,496.700012,469,488.75,485.063904,813729
2/19/2019,496.100006,509,480,484.75,481.094086,1327632
2/20/2019,488,492.950012,472.549988,481,477.372375,538920
2/21/2019,483,489.950012,477.950012,486.700012,483.029388,2074915
2/22/2019,489,510,489,503.100006,499.305695,1439111
2/25/2019,520.049988,525,481,488.149994,484.468445,1699463
2/26/2019,482,495,468.049988,493.149994,489.430725,687506
2/27/2019,492.25,509.450012,487,497.649994,493.89679,528175
2/28/2019,500.75,507.799988,492.600006,495.350006,491.614136,280970
3/1/2019,498.200012,501.25,484,486.350006,482.682037,354204
3/5/2019,487.5,495,483,485.899994,482.235413,466480
3/6/2019,487.049988,493.75,480,481.149994,477.52121,363816
3/7/2019,482.200012,484.799988,475.049988,477,473.402527,168153
3/8/2019,477.399994,486.450012,470.299988,480.600006,476.975372,471370
3/11/2019,482.600006,486.700012,475.25,477.549988,473.948364,276901
3/12/2019,482.700012,494.799988,480,483.700012,480.052032,524145
3/13/2019,486.399994,492,480.200012,481.350006,477.719727,1269466
3/14/2019,485.799988,486.600006,476.399994,478.350006,474.74234,337753
